RawService,Category,CanonicalTag,OrgCount
Sacramental Preparation Programs,K-12 Academic Support,K-12 Schools,1
Safe Shelter and Life Skills Programs,Homelessness & Emergency Shelter,Emergency Shelter,1
Sailing Lessons,"Sports, Recreation & Fitness",Boating & Waterfront Recreation,1
Saint Patrick Legacy Society,Faith & Spiritual Services,Faith & Worship,1
Samaritans emotional support,Mental & Behavioral Health,Crisis Hotline,1
School Counseling and Mental Wellness Services,Mental & Behavioral Health,Mental Health Counseling,1
School Safety Programs,K-12 Academic Support,K-12 Schools,1
Science & Lab Technology Programs,K-12 Academic Support,STEM Programs,1
Screen Printing & Embroidery Training (SISU Prints),Employment & Workforce Training,Vocational & Trade Training,1
Screen Printing & Embroidery Training (SISU Prints),Arts & Creative Programs,Visual & Performing Arts,1
Self-esteem Styling,Clothing & Household Essentials,Clothing & Essential Goods,1
Senior Telehealth Services,Health Care (Clinical),Primary & Walk-In Care,1
Service to the Armed Forces,Civic & Government Services,Disaster Relief & Preparedness,1
Services for the blind and print-disabled,Civic & Government Services,Library & Technology Access,1
Services for the blind and print-disabled,Disability & Aging Services,Disability Support Services,1
Sewing and Sustainable Fashion Apprenticeship,Employment & Workforce Training,Vocational & Trade Training,1
Sewing and Sustainable Fashion Apprenticeship,Arts & Creative Programs,Visual & Performing Arts,1
Shuttle Ministry transportation to church,Civic & Government Services,Transportation Assistance,1
Shuttle Ministry transportation to church,Faith & Spiritual Services,Faith & Worship,1
Skills & Training Clinics,"Sports, Recreation & Fitness",Youth Sports & Recreation,1
Social Justice Collective for Youth,Youth Development & Mentoring,Youth Leadership & Civic Engagement,1
Social Work assistance,Utility & Emergency Financial Aid,Public Benefits Assistance,1
Soup Kitchen,Food Assistance,Food Pantry,1
Soup Meal Program,Food Assistance,Community Meals,1
Special Cultural & Liturgical Events,Community Events & Public Life,Cultural & Community Events,1
Special Education Day School (Anderson School),K-12 Academic Support,Special Education Services,1
Special Education Day School (Anderson School),Disability & Aging Services,Disability Support Services,1
Special Education and Student Support Services,K-12 Academic Support,Special Education Services,1
Special Education and Student Support Services,Disability & Aging Services,Disability Support Services,1
Special Education services,K-12 Academic Support,Special Education Services,1
Special Education services,Disability & Aging Services,Disability Support Services,1
Special Kindness Projects,Community Events & Public Life,Cultural & Community Events,1
Specialized re-engagement programs for truants and dropouts,Youth Development & Mentoring,Youth Justice & Reentry,1
Spiritual and Human Formation,Faith & Spiritual Services,Faith & Worship,1
Sport & Wellness Camp,Youth Development & Mentoring,Summer Camps & Programs,1
Squash and Fitness Training,"Sports, Recreation & Fitness",Youth Sports & Recreation,1
Staff Recruitment and Professional Development,,,1
Stations of the Cross,Faith & Spiritual Services,Faith & Worship,1
Strengthening Families Newsletter,Family Support & Child Welfare,Parenting Education,1
Student,,,1
Student Food Services,Food Assistance,Community Meals,1
Student Food Services,K-12 Academic Support,K-12 Schools,1
Student Health Services,Health Care (Clinical),Primary & Walk-In Care,1
Student Leadership and Extracurricular Clubs,Youth Development & Mentoring,Youth Leadership & Civic Engagement,1
Student performance and artistry showcases,Arts & Creative Programs,Visual & Performing Arts,1
Substance Use Education and Treatment,Mental & Behavioral Health,Substance Use & Recovery,1
Suicide and Crisis Lifeline,Mental & Behavioral Health,Crisis Hotline,1
Summer Camp,Youth Development & Mentoring,Summer Camps & Programs,1
Summer Day Camps,Youth Development & Mentoring,Summer Camps & Programs,1
Summer Eats,Food Assistance,Community Meals,1
Summer Eats,Youth Development & Mentoring,Summer Camps & Programs,1
Summer Enrichment,Youth Development & Mentoring,Summer Camps & Programs,1
Summer Enrichment Program,Youth Development & Mentoring,Summer Camps & Programs,1
Summer Intensive Art Program,Youth Development & Mentoring,Summer Camps & Programs,1
Summer Program with Field Trips,Youth Development & Mentoring,Summer Camps & Programs,1
Summer Programs,Youth Development & Mentoring,Summer Camps & Programs,2
Sunday Mass Livestream,Arts & Creative Programs,"Media, Film & Podcasting",1
Support services for court-involved youth,Youth Development & Mentoring,Youth Justice & Reentry,1
Support services for court-involved youth,Legal & Immigration,Civil Legal Aid,1
Swim Lessons,"Sports, Recreation & Fitness",Youth Sports & Recreation,1
Tax Preparation,Financial Counseling,Tax Preparation,1
Team Networking Events,Community Events & Public Life,Cultural & Community Events,1
Technical Assistance Grants,Small Business & Nonprofit Support,Nonprofit Capacity Building,1
Technology access and equipment loans,Civic & Government Services,Library & Technology Access,1
Teen Center (Leadership and Academic Workshops),Youth Development & Mentoring,Youth Leadership & Civic Engagement,1
Teen Sailing & Boathouse Training (CIT Program),"Sports, Recreation & Fitness",Boating & Waterfront Recreation,1
Teen Sailing & Boathouse Training (CIT Program),Youth Development & Mentoring,Youth Jobs & Job Training,1
Thanksgiving Basket Drive,Food Assistance,Food Distribution & Access,1
Thanksgiving Food Program,Food Assistance,Food Distribution & Access,1
Theater and Playwriting instruction,Arts & Creative Programs,Visual & Performing Arts,1
Therapeutic Mentoring,Youth Development & Mentoring,Mentoring,1
Thrift Store,Clothing & Household Essentials,Clothing & Essential Goods,1
Training & Certification,Employment & Workforce Training,Vocational & Trade Training,1
Trainings,,,1
Transitional Housing,Homelessness & Emergency Shelter,Transitional Housing,1
Translation Services,Legal & Immigration,Interpretation & Translation,1
Translation Services,Health Care (Clinical),Primary & Walk-In Care,1
Transportation Services,Civic & Government Services,Transportation Assistance,2
Trauma-Focused Cognitive Behavioral Therapy (TF-CBT),Mental & Behavioral Health,Mental Health Counseling,1
Urban Tree Planting Program,Environmental Programs,Environment & Sustainability,1
Urban Tree Planting Program,Community Events & Public Life,Neighborhood Improvement,1
Valet Parking and Shuttle Service,Civic & Government Services,Transportation Assistance,1
Venture Loan Fund,Small Business & Nonprofit Support,Small Business & Entrepreneurship,1
Visual Art instruction,Arts & Creative Programs,Visual & Performing Arts,1
Visual Arts Apprenticeship,Arts & Creative Programs,Visual & Performing Arts,1
Visual and Performing Arts Programs,Arts & Creative Programs,Visual & Performing Arts,1
Vocational Training and Certifications,Employment & Workforce Training,Vocational & Trade Training,1
Volunteer Opportunities,Small Business & Nonprofit Support,Volunteer Opportunities,1
Volunteer Program Management,Small Business & Nonprofit Support,Volunteer Opportunities,1
Volunteer Recruitment and Placement for Nonprofits,Small Business & Nonprofit Support,Volunteer Opportunities,1
Voting & Elections,Civic & Government Services,Municipal & City Services,1
WIC Program,Food Assistance,SNAP & WIC Enrollment,1
Walk-in Care,Health Care (Clinical),Primary & Walk-In Care,1
Waste Management & Public Works,Civic & Government Services,Municipal & City Services,1
Water & Energy Utility Services,Utility & Emergency Financial Aid,Utility & Energy Bill Assistance,1
Water Quality Monitoring,Environmental Programs,Environment & Sustainability,1
Watershed Climate Resilience Planning,Environmental Programs,Environment & Sustainability,1
Watershed Restoration Projects,Environmental Programs,Environment & Sustainability,1
Website Accessibility Tools,K-12 Academic Support,Special Education Services,1
Website Accessibility Tools,Disability & Aging Services,Disability Support Services,1
Winter Futsal,"Sports, Recreation & Fitness",Youth Sports & Recreation,1
Women's Empowerment Workshops,Youth Development & Mentoring,Youth Leadership & Civic Engagement,1
Women's Health Services,Health Care (Clinical),Women's Health & Prenatal Care,1
Workforce Analysis,Employment & Workforce Training,Job Placement & Career Services,1
Workforce Development,Employment & Workforce Training,Job Placement & Career Services,1
Workforce Development & Adult Education,Adult Education & ESL,Adult Education & GED,1
Workforce Skill Development,Employment & Workforce Training,Vocational & Trade Training,1
Workforce Styling,Clothing & Household Essentials,Clothing & Essential Goods,1
Worship Services,Faith & Spiritual Services,Faith & Worship,1
YDO Kids program,K-12 Academic Support,After-School Programs,1
Youth Basketball & Life Skills Program for At-Risk Youth (SISU Basketball),"Sports, Recreation & Fitness",Youth Sports & Recreation,1
Youth Basketball & Life Skills Program for At-Risk Youth (SISU Basketball),Youth Development & Mentoring,Youth Leadership & Civic Engagement,1
Youth Board,Youth Development & Mentoring,Youth Leadership & Civic Engagement,1
Youth Development Programs,Youth Development & Mentoring,Youth Leadership & Civic Engagement,2
Youth Employment,Youth Development & Mentoring,Youth Jobs & Job Training,1
Youth Empowerment & Creative Arts Network (Movement City),Youth Development & Mentoring,Youth Leadership & Civic Engagement,1
Youth Empowerment & Creative Arts Network (Movement City),Arts & Creative Programs,Visual & Performing Arts,1
Youth Empowerment and Bystander Education,Domestic & Sexual Violence Services,Domestic Violence Services,1
Youth Housing Support,Homelessness & Emergency Shelter,Transitional Housing,1
Youth Leadership Academy,Youth Development & Mentoring,Youth Leadership & Civic Engagement,1
Youth Media Production,Arts & Creative Programs,"Media, Film & Podcasting",1
Youth Media Production,Youth Development & Mentoring,Youth Leadership & Civic Engagement,1
Youth Ministry Programs,Faith & Spiritual Services,Faith & Worship,1
Youth Music Production,Arts & Creative Programs,Music Programs,1
Youth Sports Leagues,"Sports, Recreation & Fitness",Youth Sports & Recreation,1
Youth Sports Nutrition & Wellness (Health Kicks!),"Sports, Recreation & Fitness",Youth Sports & Recreation,1
Youth Sports Nutrition & Wellness (Health Kicks!),Health Care (Clinical),Nutrition & Wellness,1
Youth Sports Programs,"Sports, Recreation & Fitness",Youth Sports & Recreation,1
Youth Vocational Skills Training,Youth Development & Mentoring,Youth Jobs & Job Training,1
Youth Workforce Development,Youth Development & Mentoring,Youth Jobs & Job Training,1
YouthBuild Program,Youth Development & Mentoring,Youth Jobs & Job Training,1
celebration programs,Community Events & Public Life,Cultural & Community Events,1
entertainment,Arts & Creative Programs,Visual & Performing Arts,1
music,Arts & Creative Programs,Music Programs,1
occupational,,,1
speech therapies,Health Care (Clinical),In-Home & Residential Care,1
